               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12174,            0.024491,            0.030674,          0.00019846,            0.044173,          0.00013844,          2.7689e-05,             0.07768,            0.018544,            0.021141,            0.070714,            0.003254,            0.003254
                   1,             0.10429,            0.020284,            0.017978,           0.0071325,             0.23857,            0.015876,           0.0040321,            0.067305,            0.018925,            0.019211,             0.04028,           0.0061525,           0.0061525
                   2,            0.098517,            0.017702,            0.016358,             0.36412,            0.041314,            0.014259,           0.0029409,            0.067344,            0.014903,            0.014916,           0.0094048,           0.0086111,           0.0086111
                   3,            0.094118,             0.01785,            0.014781,             0.43463,              0.1261,            0.058554,            0.015467,            0.056824,            0.017571,            0.011943,             0.00802,             0.00802,             0.00802
                   4,            0.085689,            0.017739,            0.012237,             0.42342,             0.11028,            0.066924,            0.024203,            0.051833,            0.016911,            0.010932,             0.00802,             0.00802,             0.00802
                   5,            0.079102,            0.015946,            0.010824,             0.45575,             0.13362,            0.070255,            0.016554,            0.050978,            0.016487,           0.0093603,             0.00736,             0.00736,             0.00736
                   6,            0.076813,            0.016489,           0.0096834,             0.50537,            0.057644,            0.080234,            0.036898,            0.047931,            0.017637,           0.0085391,              0.0067,              0.0067,              0.0067
                   7,            0.074719,            0.014779,           0.0091322,             0.52311,            0.062959,            0.068402,            0.025601,            0.049001,            0.017612,           0.0095494,             0.00604,             0.00604,             0.00604
                   8,             0.07047,            0.016703,           0.0091637,             0.52003,             0.10025,              0.1043,            0.045323,            0.046107,            0.017769,            0.010919,             0.00538,             0.00538,             0.00538
                   9,            0.069117,            0.016592,           0.0092751,             0.55458,            0.092732,             0.11383,            0.055527,            0.044663,            0.018161,            0.011377,             0.00472,             0.00472,             0.00472
                  10,            0.064316,             0.01669,           0.0084454,              0.5441,            0.099139,             0.12152,            0.065973,            0.040118,            0.018741,            0.011343,             0.00406,             0.00406,             0.00406
                  11,            0.062661,            0.016427,           0.0093959,             0.55065,             0.11529,             0.12455,            0.060395,            0.040479,            0.017551,             0.01152,              0.0034,              0.0034,              0.0034
                  12,            0.063192,            0.015266,           0.0071052,             0.55519,             0.10526,             0.12889,            0.067591,            0.041605,            0.017299,            0.011861,             0.00274,             0.00274,             0.00274
                  13,            0.058752,            0.015791,           0.0088943,             0.55562,            0.092732,             0.11339,             0.06712,            0.039439,            0.017689,            0.011585,             0.00208,             0.00208,             0.00208
                  14,            0.055781,             0.01592,           0.0097216,             0.56333,             0.10526,             0.11963,            0.072585,            0.038906,            0.017827,            0.011678,             0.00142,             0.00142,             0.00142
